id,label
0,3a
1,3b
2,3c
3,4a
4,4b
5,4c
6,4d
7,5a
8,6a
9,7a
10,10a
11,11a
12,12a
13,13a
14,14a
15,14.5a
16,15a
17,15b
18,15c
19,15d
20,16a
21,16b
22,19a
23,20a
24,20b
25,20c
26,21a
27,21b
28,21c
29,21.5a
30,22a
31,22b
32,23a
33,24a
34,24b
35,25a
36,26a
37,not in Greg
38,27a
39,28a
40,28b
41,28c
42,29a
43,30a
44,30b
45,31a
46,31b
47,33a
48,34a
49,35a
50,35b
51,35c
52,36a(*)
53,36a(†)
54,37a
55,38a
56,39a
57,39b
58,39c
59,40a
60,40b
61,41c
62,41a
63,41b
64,42a
65,43a
66,44a
67,45a
68,46a
69,47a(*)
70,47a(†)
71,48a
72,49a
73,50a
74,50b
75,50c
76,51π
77,51a
78,52a
79,53a
80,54a
81,55a
82,56a
83,56c
84,56b
85,57a
86,58a
87,58b
88,59a
89,63a
90,64a
91,65a
92,67a
93,68a(i)
94,68a(ii)
95,68a(iii)
96,69a
97,69b
98,70a
99,71a
100,72a
101,75a
102,75b
103,76a
104,76.5a
105,77a
106,78a(i)
107,78a(ii)
108,82a
109,82b
110,82c
111,83a
112,84a
113,84b
114,84c
115,84d
116,85a
117,85b
118,86a
119,87a
120,88a
121,89a
122,90π
123,91a
124,92a
125,93a
126,94d
127,95d
128,96a
129,98(a)
130,99a
131,100a
132,102a
133,103π
134,103a
135,104a(*)
136,104a(†)
137,105a
138,106a
139,107a
140,107b
141,107c(*)
142,107c(†)
143,108b
144,109a
145,109b(i)
146,109b(ii)
147,110a
148,110b
149,110c
150,110d
151,110e
152,110f
153,110g(*)
154,110g(†)
155,110h
156,110i(*)
157,110i(†)
158,110j
159,112a
160,112b
161,113a
162,113b
163,114a
164,114b
165,115a
166,116a(i)
167,116a(ii)
168,117a
169,117b
170,117c
171,118a
172,118b
173,118c
174,118d
175,118e
176,119a
177,119b
178,120a
179,120b
180,120c
181,120e
182,121a
183,121b
184,121c
185,122a
186,123a
187,123b
188,124a
189,125a
190,125b
191,126a
192,127a
193,128a
194,129a
195,129b
196,129c(*)
197,129c(†)
198,129d(*)
199,129d(†)
200,130a(i)
201,130a(ii)
202,131a
203,132d
204,133a
205,134a
206,135a
207,136a
208,137a
209,138a
210,138b
211,139a
212,140a
213,140b
214,141a
215,141b
216,141c
217,141d(*)
218,141d(†)
219,141e
220,141h(*)
221,141h(†)
222,142a
223,142b
224,142c
225,142d
226,142e
227,142f
228,142h
229,142j
230,143a
231,143b
232,143c
233,143e(*)
234,143e(†)
235,143g
236,144a
237,145a
238,145b
239,145c
240,145d
241,145e
242,145f
243,145g
244,145i
245,145k
246,146a
247,147a(i)
248,147a(ii)
249,148a
250,148b(i)
251,148b(ii)
252,149a
253,150a
254,150c
255,151a
256,151b
257,151c
258,151d
259,151e
260,151f
261,151π
262,151g
263,151h
264,151i
265,151j
266,151k
267,151l
268,151m
269,151n
270,151o
271,155a
272,156a
273,157a
274,158a
275,159a(*)
276,159a(†)
277,160a
278,161a
279,161b
280,162a
281,163a
282,163b
283,163c
284,164a
285,165a
286,165b
287,165c
288,166a
289,166b
290,167a(i)
291,167a(ii)
292,168a
293,169a
294,170a
295,170b
296,171a
297,171b
298,172a
299,172b
300,172e(i)
301,172e(ii)
302,173a
303,174a
304,175a
305,175b
306,175c
307,175d
308,175e
309,175f
310,176a
311,177a
312,177b(i)
313,177b(ii)
314,178a
315,179a
316,180a
317,181a(i)
318,181a(ii)
319,182a
320,183a
321,183b
322,184a
323,185a
324,186a
325,187a
326,187b
327,187d
328,188a
329,189a
330,189b
331,190a
332,191a
333,191b
334,191c
335,191d
336,191e
337,191f
338,191g
339,192a
340,195a(*)
341,195a(†)
342,196a
343,196b
344,197a
345,197b(*)
346,197b(†)
347,197c
348,197d
349,197g
350,198a
351,199a
352,199b
353,202a
354,202b
355,202c
356,203a
357,203b
358,203c
359,204a
360,204b
361,204c
362,204d(*)
363,204d(†)
364,204d(§)
365,204e
366,205a
367,205b
368,205c
369,205d
370,205e
371,205f
372,205g
373,205h
374,205i
375,206a
376,207a
377,207b
378,208a
379,208b
380,210a(i)
381,210a(ii)
382,211a
383,212a
384,212b
385,212c
386,212d
387,213a
388,214a
389,215a
390,215b
391,215c(*)
392,215c(†)
393,215d
394,215e
395,215f
396,215g
397,215h
398,216a
399,217a(i)
400,217a(ii)
401,217b
402,217c
403,218a
404,219a
405,220a
406,221a
407,222a
408,223a
409,224a(i)
410,224a(ii)
411,224b
412,224c
413,224d
414,225a
415,225b
416,226a
417,227a
418,228a
419,228b(*)
420,228b(†)
421,228b(§)
422,229a
423,230a
424,230b
425,231a(i)
426,231a(ii)
427,232a(i)
428,232a(ii*)
429,232a(ii†)
430,233a
431,234a
432,234b
433,234c
434,234d
435,234e
436,234f(i)
437,234f(ii)
438,234g
439,235a(*)
440,235a(†)
441,235b
442,"236a(*<sup>1</sup>, *<sup>2</sup>)"
443,"236a(*<sup>1</sup>, †<sup>2</sup>)"
444,"236a(†<sup>1</sup>, *<sup>2</sup>)"
445,"236a(†<sup>1</sup>, †<sup>2</sup>)"
446,237a
447,238a
448,239a
449,239b
450,239c
451,239d
452,239e
453,239f(i)
454,239f(ii)
455,240a(*)
456,240a(†)
457,241a
458,242a
459,242b
460,242c
461,243a
462,243b
463,244a
464,244b
465,245a(*)
466,245a(†)
467,245b(i)
468,245b(ii)
469,246a(*)
470,246a(†)
471,246b(i)
472,246b(ii)
473,246b(iii)
474,246b(iv)
475,247a
476,247b
477,247c
478,247d
479,248a(i)
480,248a(ii)
481,249a
482,249b
483,249c
484,249d
485,250a
486,251a
487,252a
488,253a(*)
489,253a(†)
490,254a(i)
491,254a(ii)
492,255a
493,255b
494,255c
495,255d
496,256a
497,256b
498,257a
499,258a
500,258b
501,259a(i)
502,259a(ii)
503,262a(i)
504,262a(ii)
505,262b
506,263a
507,264a
508,264b
509,264c
510,264d
511,264e
512,264f
513,265a
514,265b
515,265e
516,266a
517,267a
518,268a
519,272a
520,272b
521,273a
522,273b
523,273c
524,273d
525,273e
526,276a
527,276b
528,277a(cancel)
529,277a(*)
530,277a(†)
531,277b
532,278a(*)
533,278a(†)
534,279a(i)
535,279a(ii)
536,280a
537,281a(i)
538,281a(ii*)
539,281a(ii†)
540,282a
541,283a
542,284a
543,284b
544,284c
545,284e(*)
546,284e(†)
547,284f
548,285a
549,286a
550,286b
551,287a
552,287b
553,287c
554,287d
555,288a
556,289a
557,290a
558,292a
559,292b
560,292c
561,293a(*)
562,293a(†)
563,294a
564,295a
565,295b
566,296a
567,296c
568,296d
569,297a
570,298a
571,299a
572,300a
573,301a
574,302a
575,303a
576,304c(i)
577,304c(ii)
578,305a
579,306a
580,306b
581,307a
582,308a(i)
583,308a(ii)
584,309a
585,309a(cancel)
586,310a(*)
587,310a(†)
588,310b
589,311a(*)
590,312a
591,313a
592,314a(*)
593,314a(†)
594,315a(i)
595,315a(ii)
596,315b
597,315c(i)
598,315c(ii)
599,316a
600,316b
601,317a
602,320a(*)
603,320a(†)
604,321a
605,322a
606,323a
607,323b
608,323c
609,324a(*)
610,324a(†)
611,325a
612,326a
